"","age","type_employer","fnlwgt","education","marital","occupation","relationship","race","sex","capital_gain","capital_loss","hr_per_week","country","income"
"1",39,1,77516,1,1,1,1,1,1,2174,0,40,1,1
"3",38,3,215646,2,3,3,1,1,1,0,0,40,1,1
"5",28,3,338409,1,2,4,3,2,2,0,0,40,2,1
"6",37,3,284582,4,2,2,3,1,2,0,0,40,1,1
"10",42,3,159449,1,2,2,2,1,1,5178,0,40,1,0
"12",30,1,141297,1,2,4,2,3,1,0,0,40,4,0
"15",40,3,121772,8,2,7,2,3,1,0,0,40,1,0
"16",34,3,245487,9,2,8,2,4,1,0,0,45,5,1
"18",32,3,186824,2,1,10,5,1,1,0,0,40,1,1
"20",43,2,292175,4,3,2,5,1,2,0,0,45,1,0
"22",54,3,302146,2,5,5,5,2,2,0,0,20,1,1
"23",35,4,76845,5,2,9,2,2,1,0,0,40,1,1
"28",54,3,180211,6,2,2,2,3,1,0,0,60,6,0
"32",20,3,266015,6,1,6,4,2,1,0,0,44,1,1
"33",45,3,386940,1,3,2,4,1,1,0,1408,40,1,1
"34",30,4,59951,6,2,1,4,1,1,0,0,40,1,1
"35",22,1,311512,6,2,5,2,2,1,0,0,15,1,1
"38",19,3,544091,2,6,1,3,1,2,0,0,25,1,1
"40",48,2,265477,7,2,4,2,1,1,0,0,40,1,1
"42",53,2,88506,1,2,4,2,1,1,0,0,40,1,1
"43",24,3,172987,1,2,11,2,1,1,0,0,50,1,1
"46",57,4,337895,1,2,4,2,2,1,0,0,40,1,0
"47",53,3,144361,2,2,10,2,1,1,0,0,38,1,1
"48",44,3,128354,4,3,2,5,1,2,0,0,40,1,1
"49",41,1,101603,8,2,7,2,1,1,0,0,40,1,1
"50",29,3,271466,8,1,4,1,1,1,0,0,43,1,1
"51",25,3,32275,6,2,2,3,5,2,0,0,40,1,1
"54",50,4,251585,1,3,2,1,1,1,0,0,55,1,0
"55",47,6,109832,2,3,2,1,1,1,0,0,60,1,1
"56",43,3,237993,6,2,11,2,1,1,0,0,40,1,0
"57",46,3,216666,12,2,10,2,1,1,0,0,40,5,1
"58",35,3,56352,8,2,5,2,1,1,0,0,40,7,1
"59",41,3,147372,2,2,1,2,1,1,0,0,48,1,1
"63",48,3,149640,2,2,8,2,1,1,0,0,40,1,1
"64",42,3,116632,10,2,4,2,1,1,0,0,45,1,0
"65",29,3,105598,6,3,11,1,1,1,0,0,58,1,1
"67",28,3,183175,6,3,1,1,1,2,0,0,40,1,1
"68",53,3,169846,2,2,1,3,1,2,0,0,40,1,0
"69",49,6,191681,6,2,2,2,1,1,0,0,50,1,0
"71",19,3,101509,6,1,4,4,1,1,0,0,32,1,1
"72",31,3,309974,1,5,6,4,2,2,0,0,40,1,1
"75",79,3,124744,6,2,4,6,1,1,0,0,20,1,1
"79",18,3,309634,3,1,5,4,1,2,0,0,22,1,1
"80",31,5,125927,9,2,9,2,1,1,0,0,40,1,1
"81",18,3,446839,2,1,6,1,1,1,0,0,30,1,1
"84",59,3,159937,2,2,6,2,1,1,0,0,48,1,1
"85",44,3,343591,2,3,7,1,1,2,14344,0,40,1,0
"86",53,3,346253,2,3,6,4,1,2,0,0,35,1,1
"87",49,5,268234,2,2,12,2,1,1,0,0,40,1,0
"89",30,3,54334,5,1,6,1,1,1,0,0,40,1,1
"90",43,4,410867,10,1,4,1,1,2,0,0,50,1,0
"93",28,3,212563,6,3,10,5,2,2,0,0,25,1,1
"94",30,3,117747,2,2,6,3,3,2,0,1573,35,1,1
"95",34,5,226296,1,2,12,2,1,1,0,0,40,1,0
"96",29,5,115585,6,1,3,1,1,1,0,0,50,1,1
"97",48,2,191277,10,2,4,2,1,1,0,1902,60,1,0
"98",37,3,202683,6,2,6,2,1,1,0,0,48,1,0
"101",76,3,124191,4,2,2,2,1,1,0,0,40,1,0
"105",29,3,103432,2,1,7,1,1,1,0,0,40,1,1
"106",32,6,317660,2,2,7,2,1,1,7688,0,40,1,0
"107",17,3,304873,13,1,5,4,1,2,34095,0,32,1,1
"108",30,3,194901,3,1,3,4,1,1,0,0,40,1,1
"109",31,5,189265,2,1,1,1,1,2,0,0,40,1,1
"110",42,3,124692,2,2,3,2,1,1,0,0,40,1,1
"111",24,3,432376,1,1,6,6,1,1,0,0,40,1,1
"113",56,2,335605,2,2,5,2,1,1,0,1887,50,10,0
"114",28,3,377869,6,2,6,3,1,2,4064,0,25,1,1
"115",36,3,102864,2,1,10,4,1,2,0,0,40,1,1
"116",53,3,95647,5,2,3,2,1,1,0,0,50,1,1
"117",56,6,303090,6,2,6,2,1,1,0,0,50,1,1
"118",49,5,197371,8,2,7,2,2,1,0,0,40,1,0
"119",55,3,247552,6,2,6,2,1,1,0,0,56,1,1
"120",22,3,102632,2,1,7,1,1,1,0,0,41,1,1
"121",21,3,199915,6,1,5,4,1,2,0,0,40,1,1
"123",30,3,77143,1,1,2,4,2,1,0,0,40,11,1
"124",29,1,267989,1,2,4,2,1,1,0,0,50,1,0
"125",19,3,301606,6,1,5,4,2,1,0,0,35,1,1
"126",47,3,287828,1,2,2,3,1,2,0,0,40,1,0
"128",31,3,114937,7,2,1,2,1,1,0,0,40,1,0
"129",35,3,129305,2,2,7,2,1,1,0,0,40,1,1
"130",39,3,365739,6,3,7,1,1,1,0,0,40,1,1
"131",28,3,69621,7,1,6,1,1,2,0,0,60,1,1
"132",24,3,43323,2,1,5,1,1,2,0,1762,40,1,1
"133",38,2,120985,2,2,7,2,1,1,4386,0,35,1,1
"134",37,3,254202,1,2,6,2,1,1,0,0,50,1,1
"136",38,4,125933,4,2,4,2,1,1,0,0,40,12,0
"137",43,2,56920,2,2,7,2,1,1,0,0,60,1,1
"138",27,3,163127,8,2,1,3,1,2,0,0,35,1,1
"139",20,3,34310,6,1,6,4,1,1,0,0,20,1,1
"140",49,3,81973,6,2,7,2,3,1,0,0,40,1,0
"142",27,3,232782,6,1,6,4,1,2,0,0,40,1,1
"143",19,3,316868,6,1,5,4,1,1,0,0,30,5,1
"144",45,3,196584,8,1,4,1,1,2,0,1564,40,1,0
"145",70,3,105376,6,1,11,6,1,1,0,0,40,1,1
"147",22,3,175374,6,2,5,2,1,1,0,0,24,1,1
"149",64,3,181232,3,2,7,2,1,1,0,2179,40,1,1
"151",47,5,186009,6,3,1,5,1,2,0,0,38,5,1
"152",34,3,198183,2,1,1,1,1,2,0,0,40,1,1
"153",33,3,163003,1,1,2,6,3,2,0,0,40,13,1
"155",52,3,252903,2,3,7,1,1,1,0,0,45,1,0
"156",48,3,187715,2,2,7,2,1,1,0,0,46,1,1
"157",23,3,214542,1,1,3,1,1,1,0,0,40,1,1
"158",71,2,494223,6,5,6,5,2,1,0,1816,2,1,1
"159",29,3,191535,2,3,7,1,1,1,0,0,60,1,1
"160",42,3,228456,1,5,5,6,2,1,0,0,50,1,1
"163",44,6,78374,4,3,2,5,3,2,0,0,40,1,1
"164",28,3,88419,2,1,2,1,3,2,0,0,40,9,1
"166",36,3,207157,6,3,5,5,1,2,0,0,40,5,1
"167",39,4,235485,7,1,2,1,1,1,0,0,42,1,1
"168",46,1,102628,4,7,12,5,1,1,0,0,40,1,1
"171",27,3,124953,2,1,5,1,1,1,0,1980,40,1,1
"172",28,1,175325,2,2,12,2,1,1,0,0,40,1,1
"173",51,3,96062,6,2,6,2,1,1,0,1977,40,1,0
"176",27,3,253814,2,4,6,5,1,2,0,0,25,1,1
"179",18,3,183930,2,1,5,4,1,1,0,0,12,1,1
"180",33,3,37274,1,2,4,2,1,1,0,0,65,1,1
"181",44,5,181344,6,2,2,2,2,1,0,0,38,1,0
"182",43,3,114580,6,3,1,1,1,2,0,0,40,1,1
"184",40,3,286370,9,2,10,2,1,1,0,0,40,5,0
"185",37,4,29054,6,2,1,2,1,1,0,0,42,1,0
"187",41,2,143129,1,3,2,1,1,2,0,0,40,1,1
"188",53,3,135105,1,3,4,1,1,2,0,0,50,1,1
"189",31,3,99928,4,2,4,3,1,2,0,0,50,1,1
"190",58,1,109567,10,2,4,2,1,1,0,0,1,1,0
"191",38,3,155222,6,3,10,1,2,2,0,0,28,1,1
"192",24,3,159567,6,2,10,2,1,1,0,0,40,1,1
"193",41,5,523910,1,2,7,2,2,1,0,0,40,1,1
"194",47,3,120939,6,2,11,2,1,1,0,0,45,1,1
"195",41,4,130760,1,2,11,2,1,1,0,0,24,1,1
"197",36,3,99374,6,3,7,1,1,1,0,0,40,1,1
"200",24,2,32921,2,1,6,1,1,1,0,0,40,1,1
"202",19,3,170653,2,1,3,4,1,1,0,0,40,14,1
"203",51,3,259323,1,2,2,2,1,1,0,0,50,1,0
"204",42,5,254817,6,1,4,1,1,2,0,1340,40,1,1
"205",37,1,48211,2,3,1,5,1,2,0,0,35,1,1
"206",18,3,140164,3,1,6,4,1,2,0,0,40,1,1
"208",35,3,36270,2,3,7,1,1,1,0,0,60,1,1
"209",58,6,210563,2,2,6,3,1,2,15024,0,35,1,0
"210",17,3,65368,3,1,6,4,1,2,0,0,12,1,1
"211",44,5,160943,2,2,8,2,2,1,0,0,40,1,1
"212",37,3,208358,2,2,7,2,1,1,0,0,40,1,0
"213",35,3,153790,6,1,6,1,4,2,0,0,40,1,1
"214",60,3,85815,2,2,7,2,3,1,0,0,40,1,1
"216",37,3,635913,1,1,2,1,2,1,0,0,60,1,0
"217",50,3,313321,7,3,6,1,1,2,0,0,40,1,1
"218",38,3,182609,1,2,6,2,1,1,0,0,50,15,1
"219",45,3,109434,1,2,4,2,1,1,0,0,55,1,1
"220",25,3,255004,13,1,7,1,1,1,0,0,40,1,1
"221",31,3,197860,6,2,3,2,1,1,0,0,40,1,1
"224",54,3,176681,2,2,1,2,2,1,0,0,20,1,1
"225",53,5,140359,15,1,10,1,1,2,0,0,35,1,1
"226",18,3,243313,2,1,6,4,1,2,0,0,40,1,1
"227",60,3,24215,13,3,5,1,4,2,0,0,10,1,1
"228",66,2,167687,2,2,9,2,1,1,1409,0,50,1,1
"229",75,3,314209,8,7,1,1,1,2,0,0,20,16,1
"230",65,3,176796,2,3,1,1,1,2,0,0,40,1,1
"233",25,3,159732,6,1,1,1,1,1,0,0,42,1,1
"234",33,3,110978,6,3,7,6,5,2,0,0,40,1,1
"236",59,1,268700,2,2,5,2,1,1,0,0,40,1,1
"237",40,1,170525,6,1,1,1,1,2,0,0,38,1,1
"238",41,3,180138,1,2,2,2,1,1,0,0,50,12,0
"239",38,5,115076,4,2,2,2,1,1,0,0,70,1,0
"240",23,3,115458,2,1,8,4,1,1,0,0,40,1,1
"243",24,1,273905,7,2,12,2,1,1,0,0,50,1,1
"245",38,3,179488,6,3,7,1,1,1,0,1741,40,1,1
"246",56,3,203580,2,2,1,2,1,1,0,0,35,1,1
"247",58,3,236596,2,2,1,2,1,1,0,0,45,1,0
"249",40,3,207578,7,2,11,2,1,1,0,1977,60,1,0
"250",45,3,153141,2,2,1,2,1,1,0,0,40,1,1
"251",41,3,112763,11,2,4,3,1,2,0,0,40,1,0
"252",42,3,390781,1,2,1,3,2,2,0,0,40,1,1
"253",59,5,171328,13,7,5,5,2,2,0,0,30,1,1
"255",58,3,259014,6,1,8,1,1,1,0,0,20,1,1
"257",20,3,117789,2,1,5,4,1,2,0,0,40,1,1
"259",45,3,187666,8,7,2,1,1,2,0,0,45,1,1
"260",50,3,204518,9,3,7,1,1,1,0,0,40,1,1
"261",36,3,150042,1,3,4,4,1,2,0,0,40,1,1
"263",17,3,245918,3,1,5,4,1,1,0,0,12,1,1
"264",59,3,146013,6,2,6,2,1,1,4064,0,40,1,1
"266",37,6,257295,6,2,2,2,3,1,0,0,75,18,0
"267",19,3,218956,6,1,5,4,1,1,0,0,24,10,1
"268",64,3,21174,2,2,2,2,1,1,0,0,40,1,0
"269",33,3,185480,1,1,4,1,1,2,0,0,45,1,1
"270",33,3,222205,2,2,7,3,1,2,0,0,40,1,0
"271",61,3,69867,2,2,2,2,1,1,0,0,40,1,0
"273",50,2,30653,4,2,9,2,1,1,2407,0,98,1,1
"274",27,5,209109,4,1,4,4,1,1,0,0,35,1,1
"276",43,3,477983,2,2,3,2,2,1,0,0,40,1,1
"277",44,3,170924,6,2,7,2,1,1,7298,0,40,1,0
"278",35,3,190174,6,1,2,1,1,2,0,0,40,1,1
"279",25,3,193787,6,1,11,4,1,2,0,0,40,1,1
"281",22,3,34918,1,1,4,1,1,2,0,0,15,11,1
"284",60,3,173960,1,3,4,1,1,2,0,0,42,1,1
"285",21,3,205759,2,1,3,4,1,1,0,0,40,1,1
"286",57,4,425161,4,2,6,2,1,1,15024,0,40,1,0
"289",25,3,371987,1,1,2,1,1,2,0,0,40,1,1
"290",50,3,193884,9,2,7,2,1,1,0,0,40,19,1
"293",29,5,220419,1,1,12,1,1,1,0,0,56,1,1
"294",21,3,231931,6,1,6,4,1,1,0,0,45,1,1
"295",27,3,248402,1,1,11,5,2,2,0,0,40,1,1
"296",65,3,111095,2,2,8,2,1,1,0,0,16,1,1
"297",37,6,57424,1,3,6,1,1,2,0,0,60,1,1
"298",39,3,157443,4,2,4,3,3,2,3464,0,40,20,1
"300",38,3,169469,2,3,6,1,1,1,0,0,80,1,1
"301",48,3,146268,1,2,1,2,1,1,7688,0,40,1,0
"302",21,3,153718,6,1,5,1,3,2,0,0,25,1,1
"303",31,3,217460,2,2,8,2,1,1,0,0,45,1,0
"304",55,3,238638,2,2,6,2,1,1,4386,0,40,1,0
"307",26,3,193945,7,1,11,1,1,1,0,0,45,1,1
"308",46,3,83082,7,1,4,1,1,2,0,0,33,1,1
"311",26,3,59306,1,1,6,1,1,1,0,0,40,1,1
"312",34,3,142897,4,2,2,2,3,1,7298,0,35,22,0
"313",19,3,860348,6,1,6,4,2,2,0,0,25,1,1
"314",36,2,205607,1,3,4,1,2,2,0,0,40,1,0
"315",22,3,199698,6,1,6,4,1,1,0,0,15,1,1
"316",24,3,191954,6,1,10,1,1,1,0,0,40,1,1
"317",77,2,138714,6,2,6,2,1,1,0,0,40,1,1
"319",29,3,423158,6,1,11,1,1,2,0,0,40,1,1
"320",62,3,159841,2,7,5,1,1,2,0,0,24,1,1
"323",35,3,186110,2,3,8,1,1,1,0,0,45,1,1
"324",29,3,200381,3,1,2,1,1,2,0,0,40,1,1
"325",76,2,174309,4,2,7,2,1,1,0,0,10,1,1
"326",63,2,78383,2,2,9,2,1,1,0,0,45,1,1
"327",23,3,211601,8,1,5,4,2,2,0,0,15,1,1
"328",43,3,187728,6,2,4,3,1,2,0,1887,50,1,0
